,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha,T,R,K,O
6252,300.8,1538,36.1,198,0,"(300.586, 301.271]","(1533.286, 1595.0]","(34.286, 37.243]","(183.125, 239.75]"
4684,303.6,1421,44.8,101,1,"(303.329, 304.014]","(1409.857, 1471.571]","(43.157, 46.114]","(69.875, 126.5]"
1731,298.3,1485,42.0,117,0,"(297.843, 298.529]","(1471.571, 1533.286]","(40.2, 43.157]","(69.875, 126.5]"
4742,303.3,1592,33.7,14,0,"(302.643, 303.329]","(1533.286, 1595.0]","(31.329, 34.286]","(13.25, 69.875]"
4521,302.4,1865,23.9,129,0,"(301.957, 302.643]","(1841.857, 1903.571]","(22.457, 25.414]","(126.5, 183.125]"
6340,300.5,1397,45.9,210,1,"(299.9, 300.586]","(1348.143, 1409.857]","(43.157, 46.114]","(183.125, 239.75]"
576,297.7,1440,51.1,191,0,"(297.157, 297.843]","(1409.857, 1471.571]","(49.071, 52.029]","(183.125, 239.75]"
5202,303.7,1335,51.1,161,0,"(303.329, 304.014]","(1286.429, 1348.143]","(49.071, 52.029]","(126.5, 183.125]"
6363,300.0,1618,36.2,53,0,"(299.9, 300.586]","(1595.0, 1656.714]","(34.286, 37.243]","(13.25, 69.875]"
439,297.4,1535,34.6,51,0,"(297.157, 297.843]","(1533.286, 1595.0]","(34.286, 37.243]","(13.25, 69.875]"
2750,299.7,1456,40.6,182,0,"(299.214, 299.9]","(1409.857, 1471.571]","(40.2, 43.157]","(126.5, 183.125]"
7487,300.3,1707,33.6,158,0,"(299.9, 300.586]","(1656.714, 1718.429]","(31.329, 34.286]","(126.5, 183.125]"
5272,303.6,1396,38.2,117,0,"(303.329, 304.014]","(1348.143, 1409.857]","(37.243, 40.2]","(69.875, 126.5]"
5653,302.4,1495,36.8,215,0,"(301.957, 302.643]","(1471.571, 1533.286]","(34.286, 37.243]","(183.125, 239.75]"
3999,302.0,1420,45.9,144,0,"(301.957, 302.643]","(1409.857, 1471.571]","(43.157, 46.114]","(126.5, 183.125]"
6033,300.6,1471,37.9,86,0,"(300.586, 301.271]","(1409.857, 1471.571]","(37.243, 40.2]","(69.875, 126.5]"
582,297.8,1341,49.2,208,0,"(297.157, 297.843]","(1286.429, 1348.143]","(49.071, 52.029]","(183.125, 239.75]"
9930,298.3,1452,45.5,63,0,"(297.843, 298.529]","(1409.857, 1471.571]","(43.157, 46.114]","(13.25, 69.875]"
7051,300.6,1556,37.7,122,0,"(300.586, 301.271]","(1533.286, 1595.0]","(37.243, 40.2]","(69.875, 126.5]"
8158,299.6,1400,40.8,118,0,"(299.214, 299.9]","(1348.143, 1409.857]","(40.2, 43.157]","(69.875, 126.5]"
9896,298.8,1618,35.1,173,0,"(298.529, 299.214]","(1595.0, 1656.714]","(34.286, 37.243]","(126.5, 183.125]"
2249,299.2,1442,46.5,11,0,"(298.529, 299.214]","(1409.857, 1471.571]","(46.114, 49.071]","(-43.375, 13.25]"
4640,303.1,1435,40.1,219,0,"(302.643, 303.329]","(1409.857, 1471.571]","(37.243, 40.2]","(183.125, 239.75]"
9485,298.9,1589,34.2,197,0,"(298.529, 299.214]","(1533.286, 1595.0]","(31.329, 34.286]","(183.125, 239.75]"
4947,303.7,1395,53.9,123,0,"(303.329, 304.014]","(1348.143, 1409.857]","(52.029, 54.986]","(69.875, 126.5]"
9920,298.5,1450,43.9,28,0,"(297.843, 298.529]","(1409.857, 1471.571]","(43.157, 46.114]","(13.25, 69.875]"
1963,297.7,1379,43.3,111,0,"(297.157, 297.843]","(1348.143, 1409.857]","(43.157, 46.114]","(69.875, 126.5]"
8243,299.1,1369,54.5,104,0,"(298.529, 299.214]","(1348.143, 1409.857]","(52.029, 54.986]","(69.875, 126.5]"
6590,301.7,1763,25.9,3,0,"(301.271, 301.957]","(1718.429, 1780.143]","(25.414, 28.371]","(-43.375, 13.25]"
8847,297.5,1443,43.5,0,0,"(297.157, 297.843]","(1409.857, 1471.571]","(43.157, 46.114]","(-43.375, 13.25]"
321,297.8,1518,32.5,190,0,"(297.157, 297.843]","(1471.571, 1533.286]","(31.329, 34.286]","(183.125, 239.75]"
2678,299.8,1447,43.1,12,0,"(299.214, 299.9]","(1409.857, 1471.571]","(40.2, 43.157]","(-43.375, 13.25]"
4625,303.0,1511,45.7,184,0,"(302.643, 303.329]","(1471.571, 1533.286]","(43.157, 46.114]","(183.125, 239.75]"
4949,303.8,1555,33.4,128,0,"(303.329, 304.014]","(1533.286, 1595.0]","(31.329, 34.286]","(126.5, 183.125]"
8328,298.6,1325,52.2,127,0,"(298.529, 299.214]","(1286.429, 1348.143]","(52.029, 54.986]","(126.5, 183.125]"
3337,301.6,1564,34.1,150,0,"(301.271, 301.957]","(1533.286, 1595.0]","(31.329, 34.286]","(126.5, 183.125]"
5589,302.5,1298,57.5,57,0,"(301.957, 302.643]","(1286.429, 1348.143]","(54.986, 57.943]","(13.25, 69.875]"
251,298.0,1466,42.6,2,0,"(297.843, 298.529]","(1409.857, 1471.571]","(40.2, 43.157]","(-43.375, 13.25]"
3973,302.3,1535,41.8,77,0,"(301.957, 302.643]","(1533.286, 1595.0]","(40.2, 43.157]","(69.875, 126.5]"
6630,301.6,1414,49.3,106,0,"(301.271, 301.957]","(1409.857, 1471.571]","(49.071, 52.029]","(69.875, 126.5]"
5547,302.3,1540,28.9,149,0,"(301.957, 302.643]","(1533.286, 1595.0]","(28.371, 31.329]","(126.5, 183.125]"
35,298.8,1452,48.6,98,0,"(298.529, 299.214]","(1409.857, 1471.571]","(46.114, 49.071]","(69.875, 126.5]"
8362,298.6,1353,62.5,9,0,"(298.529, 299.214]","(1348.143, 1409.857]","(60.9, 63.857]","(-43.375, 13.25]"
1513,298.1,1568,32.9,10,0,"(297.843, 298.529]","(1533.286, 1595.0]","(31.329, 34.286]","(-43.375, 13.25]"
