,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha,T,R,K,O
6252,300.8,1538,36.1,198,0,"(300.735, 301.152]","(1501.087, 1538.652]","(34.8, 36.6]","(195.435, 205.283]"
4684,303.6,1421,44.8,101,1,"(303.239, 303.657]","(1388.391, 1425.957]","(43.8, 45.6]","(96.957, 106.804]"
1731,298.3,1485,42.0,117,0,"(298.23, 298.648]","(1463.522, 1501.087]","(42.0, 43.8]","(116.652, 126.5]"
4742,303.3,1592,33.7,14,0,"(303.239, 303.657]","(1576.217, 1613.783]","(33.0, 34.8]","(8.326, 18.174]"
4521,302.4,1865,23.9,129,0,"(301.987, 302.404]","(1839.174, 1876.739]","(22.2, 24.0]","(126.5, 136.348]"
6340,300.5,1397,45.9,210,1,"(300.317, 300.735]","(1388.391, 1425.957]","(45.6, 47.4]","(205.283, 215.13]"
576,297.7,1440,51.1,191,0,"(297.396, 297.813]","(1425.957, 1463.522]","(51.0, 52.8]","(185.587, 195.435]"
5202,303.7,1335,51.1,161,0,"(303.657, 304.074]","(1313.261, 1350.826]","(51.0, 52.8]","(156.043, 165.891]"
6363,300.0,1618,36.2,53,0,"(299.9, 300.317]","(1613.783, 1651.348]","(34.8, 36.6]","(47.717, 57.565]"
439,297.4,1535,34.6,51,0,"(297.396, 297.813]","(1501.087, 1538.652]","(33.0, 34.8]","(47.717, 57.565]"
2750,299.7,1456,40.6,182,0,"(299.483, 299.9]","(1425.957, 1463.522]","(40.2, 42.0]","(175.739, 185.587]"
7487,300.3,1707,33.6,158,0,"(299.9, 300.317]","(1688.913, 1726.478]","(33.0, 34.8]","(156.043, 165.891]"
5272,303.6,1396,38.2,117,0,"(303.239, 303.657]","(1388.391, 1425.957]","(36.6, 38.4]","(116.652, 126.5]"
5653,302.4,1495,36.8,215,0,"(301.987, 302.404]","(1463.522, 1501.087]","(36.6, 38.4]","(205.283, 215.13]"
3999,302.0,1420,45.9,144,0,"(301.987, 302.404]","(1388.391, 1425.957]","(45.6, 47.4]","(136.348, 146.196]"
6033,300.6,1471,37.9,86,0,"(300.317, 300.735]","(1463.522, 1501.087]","(36.6, 38.4]","(77.261, 87.109]"
582,297.8,1341,49.2,208,0,"(297.396, 297.813]","(1313.261, 1350.826]","(49.2, 51.0]","(205.283, 215.13]"
9930,298.3,1452,45.5,63,0,"(298.23, 298.648]","(1425.957, 1463.522]","(43.8, 45.6]","(57.565, 67.413]"
7051,300.6,1556,37.7,122,0,"(300.317, 300.735]","(1538.652, 1576.217]","(36.6, 38.4]","(116.652, 126.5]"
8158,299.6,1400,40.8,118,0,"(299.483, 299.9]","(1388.391, 1425.957]","(40.2, 42.0]","(116.652, 126.5]"
9896,298.8,1618,35.1,173,0,"(298.648, 299.065]","(1613.783, 1651.348]","(34.8, 36.6]","(165.891, 175.739]"
2249,299.2,1442,46.5,11,0,"(299.065, 299.483]","(1425.957, 1463.522]","(45.6, 47.4]","(8.326, 18.174]"
4640,303.1,1435,40.1,219,0,"(302.822, 303.239]","(1425.957, 1463.522]","(38.4, 40.2]","(215.13, 224.978]"
9485,298.9,1589,34.2,197,0,"(298.648, 299.065]","(1576.217, 1613.783]","(33.0, 34.8]","(195.435, 205.283]"
4947,303.7,1395,53.9,123,0,"(303.657, 304.074]","(1388.391, 1425.957]","(52.8, 54.6]","(116.652, 126.5]"
9920,298.5,1450,43.9,28,0,"(298.23, 298.648]","(1425.957, 1463.522]","(43.8, 45.6]","(18.174, 28.022]"
1963,297.7,1379,43.3,111,0,"(297.396, 297.813]","(1350.826, 1388.391]","(42.0, 43.8]","(106.804, 116.652]"
8243,299.1,1369,54.5,104,0,"(299.065, 299.483]","(1350.826, 1388.391]","(52.8, 54.6]","(96.957, 106.804]"
6590,301.7,1763,25.9,3,0,"(301.57, 301.987]","(1726.478, 1764.043]","(25.8, 27.6]","(-1.522, 8.326]"
8847,297.5,1443,43.5,0,0,"(297.396, 297.813]","(1425.957, 1463.522]","(42.0, 43.8]","(-1.522, 8.326]"
321,297.8,1518,32.5,190,0,"(297.396, 297.813]","(1501.087, 1538.652]","(31.2, 33.0]","(185.587, 195.435]"
2678,299.8,1447,43.1,12,0,"(299.483, 299.9]","(1425.957, 1463.522]","(42.0, 43.8]","(8.326, 18.174]"
4625,303.0,1511,45.7,184,0,"(302.822, 303.239]","(1501.087, 1538.652]","(45.6, 47.4]","(175.739, 185.587]"
4949,303.8,1555,33.4,128,0,"(303.657, 304.074]","(1538.652, 1576.217]","(33.0, 34.8]","(126.5, 136.348]"
8328,298.6,1325,52.2,127,0,"(298.23, 298.648]","(1313.261, 1350.826]","(51.0, 52.8]","(126.5, 136.348]"
3337,301.6,1564,34.1,150,0,"(301.57, 301.987]","(1538.652, 1576.217]","(33.0, 34.8]","(146.196, 156.043]"
5589,302.5,1298,57.5,57,0,"(302.404, 302.822]","(1275.696, 1313.261]","(56.4, 58.2]","(47.717, 57.565]"
251,298.0,1466,42.6,2,0,"(297.813, 298.23]","(1463.522, 1501.087]","(42.0, 43.8]","(-1.522, 8.326]"
3973,302.3,1535,41.8,77,0,"(301.987, 302.404]","(1501.087, 1538.652]","(40.2, 42.0]","(67.413, 77.261]"
6630,301.6,1414,49.3,106,0,"(301.57, 301.987]","(1388.391, 1425.957]","(49.2, 51.0]","(96.957, 106.804]"
5547,302.3,1540,28.9,149,0,"(301.987, 302.404]","(1538.652, 1576.217]","(27.6, 29.4]","(146.196, 156.043]"
35,298.8,1452,48.6,98,0,"(298.648, 299.065]","(1425.957, 1463.522]","(47.4, 49.2]","(96.957, 106.804]"
8362,298.6,1353,62.5,9,0,"(298.23, 298.648]","(1350.826, 1388.391]","(61.8, 63.6]","(8.326, 18.174]"
1513,298.1,1568,32.9,10,0,"(297.813, 298.23]","(1538.652, 1576.217]","(31.2, 33.0]","(8.326, 18.174]"
9317,298.5,1480,38.1,160,0,"(298.23, 298.648]","(1463.522, 1501.087]","(36.6, 38.4]","(156.043, 165.891]"
39,298.8,1350,52.5,111,0,"(298.648, 299.065]","(1313.261, 1350.826]","(51.0, 52.8]","(106.804, 116.652]"
4819,303.6,1696,30.7,5,0,"(303.239, 303.657]","(1688.913, 1726.478]","(29.4, 31.2]","(-1.522, 8.326]"
3465,301.8,1383,45.7,44,0,"(301.57, 301.987]","(1350.826, 1388.391]","(45.6, 47.4]","(37.87, 47.717]"
1760,298.1,1684,33.1,200,0,"(297.813, 298.23]","(1651.348, 1688.913]","(33.0, 34.8]","(195.435, 205.283]"
2304,299.1,1455,39.8,145,0,"(299.065, 299.483]","(1425.957, 1463.522]","(38.4, 40.2]","(136.348, 146.196]"
3723,302.3,1758,24.4,68,0,"(301.987, 302.404]","(1726.478, 1764.043]","(24.0, 25.8]","(67.413, 77.261]"
8284,298.8,1651,33.3,0,0,"(298.648, 299.065]","(1613.783, 1651.348]","(33.0, 34.8]","(-1.522, 8.326]"
4993,303.8,1819,23.7,16,0,"(303.657, 304.074]","(1801.609, 1839.174]","(22.2, 24.0]","(8.326, 18.174]"
8127,300.1,1650,33.8,38,0,"(299.9, 300.317]","(1613.783, 1651.348]","(33.0, 34.8]","(37.87, 47.717]"
3032,300.6,1447,42.9,12,0,"(300.317, 300.735]","(1425.957, 1463.522]","(42.0, 43.8]","(8.326, 18.174]"
7938,300.8,1681,31.3,221,0,"(300.735, 301.152]","(1651.348, 1688.913]","(31.2, 33.0]","(215.13, 224.978]"
