,0
0,"(34.8, 36.6]"
1,"(43.8, 45.6]"
2,"(42.0, 43.8]"
3,"(33.0, 34.8]"
4,"(22.2, 24.0]"
5,"(45.6, 47.4]"
6,"(51.0, 52.8]"
7,"(40.2, 42.0]"
8,"(36.6, 38.4]"
9,"(49.2, 51.0]"
10,"(38.4, 40.2]"
11,"(52.8, 54.6]"
12,"(25.8, 27.6]"
13,"(31.2, 33.0]"
14,"(56.4, 58.2]"
15,"(27.6, 29.4]"
16,"(47.4, 49.2]"
17,"(61.8, 63.6]"
18,"(29.4, 31.2]"
19,"(24.0, 25.8]"
20,"(15.0, 16.8]"
21,"(67.2, 69.0]"
22,"(58.2, 60.0]"
23,"(63.6, 65.4]"
24,"(20.4, 22.2]"
25,"(54.6, 56.4]"
26,"(11.4, 13.2]"
27,"(60.0, 61.8]"
28,"(16.8, 18.6]"
29,"(18.6, 20.4]"
30,"(13.2, 15.0]"
31,"(69.0, 70.8]"
32,"(72.6, 74.4]"
33,"(70.8, 72.6]"
34,"(74.4, 76.2]"
35,"(76.2, 78.0]"
36,"(65.4, 67.2]"
37,"(7.8, 9.6]"
38,"(9.6, 11.4]"
39,"(4.2, 6.0]"
