,0
0,"(1501.087, 1538.652]"
1,"(1388.391, 1425.957]"
2,"(1463.522, 1501.087]"
3,"(1576.217, 1613.783]"
4,"(1839.174, 1876.739]"
5,"(1425.957, 1463.522]"
6,"(1313.261, 1350.826]"
7,"(1613.783, 1651.348]"
8,"(1688.913, 1726.478]"
9,"(1538.652, 1576.217]"
10,"(1350.826, 1388.391]"
11,"(1726.478, 1764.043]"
12,"(1275.696, 1313.261]"
13,"(1651.348, 1688.913]"
14,"(1801.609, 1839.174]"
15,"(2214.826, 2252.391]"
16,"(1764.043, 1801.609]"
17,"(1876.739, 1914.304]"
18,"(1238.13, 1275.696]"
19,"(1914.304, 1951.87]"
20,"(2515.348, 2552.913]"
21,"(2027.0, 2064.565]"
22,"(1989.435, 2027.0]"
23,"(2365.087, 2402.652]"
24,"(2327.522, 2365.087]"
25,"(2665.609, 2703.174]"
26,"(1951.87, 1989.435]"
27,"(1200.565, 1238.13]"
28,"(2177.261, 2214.826]"
29,"(2477.783, 2515.348]"
30,"(2064.565, 2102.13]"
31,"(2139.696, 2177.261]"
32,"(2252.391, 2289.957]"
33,"(1163.0, 1200.565]"
34,"(2102.13, 2139.696]"
35,"(2703.174, 2740.739]"
36,"(2628.043, 2665.609]"
37,"(2289.957, 2327.522]"
38,"(2590.478, 2628.043]"
39,"(2815.87, 2853.435]"
40,"(2552.913, 2590.478]"
41,"(2740.739, 2778.304]"
42,"(2440.217, 2477.783]"
43,"(2402.652, 2440.217]"
