,0
0,"(34.286, 37.243]"
1,"(43.157, 46.114]"
2,"(40.2, 43.157]"
3,"(31.329, 34.286]"
4,"(22.457, 25.414]"
5,"(49.071, 52.029]"
6,"(37.243, 40.2]"
7,"(46.114, 49.071]"
8,"(52.029, 54.986]"
9,"(25.414, 28.371]"
10,"(54.986, 57.943]"
11,"(28.371, 31.329]"
12,"(60.9, 63.857]"
13,"(16.543, 19.5]"
14,"(66.814, 69.771]"
15,"(57.943, 60.9]"
16,"(63.857, 66.814]"
17,"(19.5, 22.457]"
18,"(10.629, 13.586]"
19,"(13.586, 16.543]"
20,"(72.729, 75.686]"
21,"(69.771, 72.729]"
22,"(75.686, 78.643]"
23,"(7.671, 10.629]"
24,"(4.714, 7.671]"
