,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha
9253,301.5,1435,38.5,224,0
1561,302.3,1784,26.4,79,0
1670,302.9,1578,36.3,141,0
6086,300.4,1298,61.4,19,0
7332,297.2,1689,31.2,145,0
7461,303.3,1262,63.8,100,0
8828,304.2,1735,28.9,192,0
7944,298.0,1777,24.3,200,0
3508,298.3,1629,37.1,170,0
2002,298.2,1528,31.1,194,0
5865,298.7,1582,33.4,121,0
168,300.9,1720,27.9,202,0
2588,300.4,1459,45.6,3,0
6400,301.8,1521,39.3,197,0
9528,300.3,1446,45.0,82,0
8835,301.0,1402,55.3,98,0
6510,302.6,1589,39.0,122,0
4907,299.1,1397,52.4,112,0
6394,301.4,1355,50.6,37,0
8559,300.3,1444,42.0,3,0
4891,300.3,1435,45.4,181,0
9937,302.3,1453,42.5,56,0
6520,302.7,1433,44.2,17,0
5181,301.0,1491,42.9,165,0
6646,300.9,2140,16.5,43,0
7381,304.0,1844,27.1,88,0
210,300.7,1425,45.3,100,0
6950,300.3,1528,40.9,76,0
1919,299.7,1462,40.4,19,0
718,300.4,1314,59.5,160,0
4867,300.1,1326,55.9,55,0
8516,295.3,1475,51.0,187,0
1298,302.4,1539,39.9,101,0
6890,301.4,1440,45.4,177,0
8260,297.6,1574,37.1,121,0
3128,297.5,1597,36.4,112,0
7139,302.3,1762,24.5,73,0
3979,302.5,1626,36.0,44,0
9923,298.2,1666,31.5,30,0
7442,298.8,1527,36.2,3,0
4393,301.9,1456,43.6,45,0
1287,299.5,1379,50.4,85,0
4355,299.4,1596,31.8,40,0
9083,302.3,1414,47.0,11,0
3885,301.3,1501,39.5,27,0
5748,303.5,1547,40.3,73,0
8658,298.9,1473,42.6,164,0
2407,298.0,1482,37.8,132,0
2013,300.8,1582,31.1,193,0
5152,300.5,1499,45.2,8,0
8550,298.3,1363,50.1,96,0
4376,297.7,1453,45.5,86,0
7969,298.4,1706,29.5,107,0
4273,301.5,1591,29.6,33,0
4689,300.2,1510,47.5,146,0
6698,298.8,1534,37.0,47,0
7242,298.4,1397,50.3,110,0
449,301.8,1470,37.6,204,0
2227,300.8,1371,44.7,205,0
5044,297.4,1623,33.8,127,0
810,299.1,1450,40.9,85,0
4180,300.7,1490,38.8,173,0
6489,302.6,1773,27.1,30,0
8598,301.6,1355,57.8,195,1
6867,303.8,1619,35.7,182,0
8944,299.7,1433,49.6,129,0
8534,302.6,1512,34.2,44,0
1477,301.0,1588,32.7,138,0
1790,298.5,1557,36.0,21,0
2008,301.7,1608,33.0,160,0
682,301.1,1407,53.0,165,0
2816,301.2,1395,47.8,90,0
4848,298.2,1355,51.3,70,0
3774,298.0,1679,32.4,90,0
7786,302.2,1389,46.9,106,0
5479,300.7,1347,46.5,183,0
6866,300.5,1454,41.4,108,0
9656,300.7,1559,42.8,121,0
8379,297.7,1715,27.2,193,0
46,303.6,1696,30.7,5,0
30,297.8,1518,32.5,190,0
8249,299.7,1720,27.1,146,0
4775,300.9,1471,39.3,91,0
1468,299.4,1957,22.1,55,0
1665,297.4,1651,34.1,163,0
1416,298.8,1437,48.2,164,0
6173,298.4,1391,48.4,100,0
4851,303.9,1310,62.9,130,0
2470,302.0,1438,43.2,12,0
4373,301.8,1839,23.6,30,0
8523,300.9,1853,23.6,122,0
429,298.1,1354,53.9,207,1
6248,297.4,1411,46.3,138,0
2119,301.6,1343,49.5,140,0
385,301.1,1378,51.1,190,0
1945,300.3,1551,37.9,42,0
4224,295.7,1458,49.8,151,0
473,298.6,1450,44.3,7,0
2129,296.7,1927,23.9,112,0
6555,300.1,1625,38.0,46,0
6997,300.6,1425,40.3,103,0
1055,297.7,1507,38.2,94,0
3274,299.9,1489,41.7,56,0
4960,298.0,1438,42.9,101,0
5362,300.4,1332,54.6,111,0
5815,298.8,1268,55.8,155,0
811,297.8,1438,44.5,3,0
4572,304.0,1584,38.7,104,0
9523,300.7,1296,58.2,204,0
2388,296.4,2077,19.1,80,0
9647,297.6,1415,47.3,169,0
6224,297.9,1538,37.6,54,0
111,301.7,1418,38.0,166,0
8908,296.9,1544,37.6,109,0
1745,299.0,1449,39.6,105,0
6419,298.3,1399,47.8,99,0
1452,302.6,1451,43.1,35,0
319,301.9,1465,39.9,153,0
8786,300.7,1479,52.3,9,0
3333,299.7,1779,25.5,129,0
1922,299.9,1889,26.0,6,0
7914,302.3,1529,33.4,62,0
7542,301.2,1527,41.1,53,0
3685,303.6,1659,34.7,94,0
4275,298.8,1412,46.3,107,0
7737,300.2,1771,27.1,104,0
4995,302.2,1379,42.9,13,0
7471,295.6,1474,41.2,156,0
3605,302.4,1400,53.7,175,0
1052,299.3,1438,42.3,0,0
4156,298.4,1419,41.3,159,0
9675,300.2,1597,39.5,68,0
99,299.8,1553,36.6,157,0
6403,301.6,1638,33.8,196,0
1456,301.1,1433,48.1,14,0
9267,297.2,1765,31.1,191,0
4004,296.8,1338,44.4,128,0
6865,300.8,1465,43.7,139,0
4509,300.6,1313,52.9,93,0
3299,297.7,1720,25.6,174,0
3799,296.7,1690,29.6,119,0
4281,297.6,1610,35.0,6,0
7382,300.0,1465,40.9,60,0
6461,302.0,1434,44.9,15,0
6853,298.4,1335,53.5,168,0
1414,303.5,1530,34.5,110,0
540,301.0,1558,37.5,190,0
5814,298.7,1462,46.8,4,0
8198,302.1,1314,52.8,8,1
3680,297.0,1529,42.2,157,0
754,301.1,1501,36.1,156,0
4196,300.7,1486,37.1,186,0
2650,300.9,1695,30.2,188,0
