,0
0,"(300.735, 301.152]"
1,"(303.239, 303.657]"
2,"(298.23, 298.648]"
3,"(301.987, 302.404]"
4,"(300.317, 300.735]"
5,"(297.396, 297.813]"
6,"(303.657, 304.074]"
7,"(299.9, 300.317]"
8,"(299.483, 299.9]"
9,"(298.648, 299.065]"
10,"(299.065, 299.483]"
11,"(302.822, 303.239]"
12,"(301.57, 301.987]"
13,"(302.404, 302.822]"
14,"(297.813, 298.23]"
15,"(296.978, 297.396]"
16,"(301.152, 301.57]"
17,"(295.726, 296.143]"
18,"(295.309, 295.726]"
19,"(296.561, 296.978]"
20,"(296.143, 296.561]"
21,"(304.074, 304.491]"
22,"(294.891, 295.309]"
23,"(304.491, 304.909]"
