,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha
17,298.7,1410,45.6,47,0
46,298.7,1843,25.8,130,0
110,298.8,1872,22.5,82,0
126,299.0,1329,60.5,120,0
163,298.4,1468,43.8,2,0
166,298.4,1612,32.6,10,0
231,298.3,1408,43.1,177,0
298,297.9,2129,18.7,126,0
312,297.9,1468,36.0,168,0
327,297.7,1373,56.7,203,1
343,297.5,1388,48.6,27,0
453,297.4,1510,36.2,92,0
477,297.4,1468,41.4,156,0
526,297.6,1373,50.6,55,0
564,297.6,1669,32.1,155,0
667,297.5,1459,48.5,193,0
677,297.9,1478,39.7,10,0
751,296.8,1843,24.2,212,0
767,296.9,1546,31.1,11,0
779,296.8,1666,29.8,41,0
849,296.4,1586,35.5,0,0
854,296.3,1498,41.6,15,0
866,295.9,1678,26.7,53,0
869,295.8,1358,49.2,63,0
874,295.9,1575,28.5,74,0
984,296.3,1419,48.6,142,0
990,296.2,1414,48.3,162,0
1001,296.3,1662,32.9,190,0
1006,296.2,1413,53.4,203,0
1028,296.3,1472,39.9,51,0
1034,296.3,1958,19.1,67,0
1050,296.6,1671,28.8,108,0
1132,296.8,1271,61.4,125,0
1140,296.9,1385,44.8,144,0
1214,296.8,1694,33.0,115,0
1279,298.3,1531,40.1,81,0
1344,298.5,1809,28.9,20,0
1369,298.7,1481,41.5,83,0
1509,298.0,1429,37.7,220,1
1538,298.4,1798,29.6,81,0
1562,298.2,2216,16.8,139,0
1661,298.2,1411,47.2,168,0
1666,298.2,1551,36.0,186,0
1697,297.9,1519,44.0,37,0
1729,298.3,1439,43.8,111,0
1798,298.0,1431,52.9,92,0
