,0
0,"(1533.286, 1595.0]"
1,"(1409.857, 1471.571]"
2,"(1471.571, 1533.286]"
3,"(1841.857, 1903.571]"
4,"(1348.143, 1409.857]"
5,"(1286.429, 1348.143]"
6,"(1595.0, 1656.714]"
7,"(1656.714, 1718.429]"
8,"(1718.429, 1780.143]"
9,"(1780.143, 1841.857]"
10,"(2212.143, 2273.857]"
11,"(1224.714, 1286.429]"
12,"(1903.571, 1965.286]"
13,"(2520.714, 2582.429]"
14,"(2027.0, 2088.714]"
15,"(1965.286, 2027.0]"
16,"(2335.571, 2397.286]"
17,"(2644.143, 2705.857]"
18,"(2150.429, 2212.143]"
19,"(2459.0, 2520.714]"
20,"(2088.714, 2150.429]"
21,"(1163.0, 1224.714]"
22,"(2705.857, 2767.571]"
23,"(2582.429, 2644.143]"
24,"(2273.857, 2335.571]"
25,"(2397.286, 2459.0]"
26,"(2767.571, 2829.286]"
